47.39942185, 46.63464708, 44.98159449
109.8788575, 98.78483477, 88.29614693
175.5635841, 141.7555297, 121.5055434
244.8527414, 176.4414148, 147.8250181
310.9487809, 203.9698273, 167.3485719
381.3417647, 228.9736712, 183.9630235
460.2463734, 252.0168347, 198.9188871
566.1178923, 278.9336073, 214.6944962
663.7245734, 298.5456899, 226.1609913
759.711192, 315.4614526, 235.3730350
838.0643094, 327.4498782, 241.7386524
922.3579369, 338.7276406, 247.6740782
1005.477649, 346.4389334, 252.7750653
1082.621595, 356.1845149, 256.9597172
1144.656148, 361.5175763, 260.0000966
